acreage,participant by year,participant overall,latitude,longitude
0.1148,2023-100,2023-327,35.1368400000,-106.5054260000
0.17217631,2023-101,2023-328,35.1388760000,-106.7112580000
0.00229568,2023-102,2023-329,35.0943400000,-106.6647540000
0.25252525,2023-103,2023-330,35.1360890000,-106.5083680000
0.0573921,2023-104,2023-331,35.0830780000,-106.5961140000
0.50505051,2023-105,2023-332,35.3051560000,-106.5808510000
0.02295684,2023-106,2023-333,35.2184780000,-106.7020260000
0.0573921,2023-107,2023-334,35.1273020000,-106.5019970000
0.00459137,2023-108,2023-335,35.0973820000,-106.5053340000
0.50505051,2023-109,2023-336,35.0855930000,-106.5984850000
0.0573921,2023-110,2023-337,35.1443840000,-106.6541540000
0.11478421,2023-111,2023-338,35.0964850000,-106.6800380000
0.17217631,2023-112,2023-339,35.0661880000,-106.6702350000
0.25252525,2023-113,2023-340,35.0471780000,-106.6897650000
0.17217631,2023-114,2023-341,35.1584860000,-106.7051970000
0.25252525,2023-115,2023-342,35.0621280000,-106.5871480000
0.11478421,2023-116,2023-343,35.0606440000,-106.5773290000
0.00114784,2023-117,2023-344,35.0589790000,-106.5925870000
0.00459137,2023-118,2023-345,35.1357020000,-106.4963430000
0.01147842,2023-119,2023-346,35.0698140000,-106.6131180000
0.02295684,2023-120,2023-347,35.7311990000,-105.9673030000
0.01147842,2023-121,2023-348,34.9938750000,-106.6695230000
0.01147842,2023-122,2023-349,35.1229470000,-106.4971980000
0.01147842,2023-123,2023-350,35.0747520000,-106.6093060000
0.02295684,2023-124,2023-351,35.0667830000,-106.6097460000
0.01147842,2023-125,2023-352,35.1197400000,-106.5406510000
0.17217631,2023-126,2023-353,35.1030100000,-106.7542650000
0.00114784,2023-127,2023-354,35.1396270000,-106.6590200000
0.00229568,2023-128,2023-355,35.1178070000,-106.5839820000
0.00229568,2023-129,2023-356,35.0775180000,-106.6843360000
0.25252525,2023-130,2023-357,35.2289800000,-106.6489640000
0.0573921,2023-131,2023-358,35.0592760000,-106.6673520000
0.02295684,2024-1,2024-359,35.1126110000,-106.5718000000
0.50505051,2024-2,2024-360,35.1645420000,-106.7352420000
0.0573921,2024-3,2024-361,35.1853750000,-106.5458800000
0.01147842,2024-4,2024-362,35.0816000000,-106.6769000000
1.01010101,2024-5,2024-363,35.2423710000,-106.6058070000
1.01010101,2024-6,2024-364,35.1186300000,-106.5738490000
1.01010101,2024-7,2024-365,35.1211770000,-106.5782950000
0.04591368,2024-8,2024-366,35.2368040000,-106.6411660000
0.09182736,2024-9,2024-367,35.0936570000,-106.4829990000
1.01010101,2024-10,2024-368,34.9700360000,-106.3242100000
0.09182736,2024-11,2024-369,35.1639610000,-106.6545960000
2.02020202,2024-12,2024-370,35.0532460000,-106.7054560000
2,2024-13,2024-371,35.1175550000,-106.5491180000
0.11478421,2024-14,2024-372,35.0774480000,-106.6035490000
0.25252525,2024-15,2024-373,35.1677860000,-106.5037470000
0.03443526,2024-16,2024-374,35.0909660000,-106.6094810000
1.01010101,2024-17,2024-375,35.1234180000,-106.5761550000
0.0573921,2024-18,2024-376,35.2275940000,-106.6065510000
0.02295684,2024-19,2024-377,35.3073520000,-106.4596230000
1,2024-20,2024-378,35.1694820000,-106.5116930000
0.02525253,2024-21,2024-379,35.1016100000,-106.5534340000
0.98714417,2024-22,2024-380,35.0644570000,-106.5912450000
0.03443526,2024-23,2024-381,35.2022610000,-106.7493140000
0.17217631,2024-24,2024-382,35.0988450000,-106.6397000000
0.02295684,2024-25,2024-383,35.1195840000,-106.5288750000
0.02295684,2024-27,2024-384,35.0596650000,-106.5935020000
0.17217631,2024-28,2024-385,35.1233650000,-106.5723530000
