siteName,siteNo,year,vegTotal,Latitude,Longitude,cottonwoodSum,rusOliveSum,nmOliveSum,saltcedarSum,precip,Date
SLO (State Land Office),21,2010,272.19,35.195569,-106.6416219,185.33,NULL,NULL,NULL,13.308,2010
Savannah,12,2010,257.03,35.193151,-106.646915,158.69,NULL,6.93,3.14,13.325,2010
San Jose,19,2010,407.16,34.660546,-106.7429525,104.86,66.04,NULL,142.43,13.85,2010
BioPark,15,2010,438.6,34.648634,-106.7391728,38.72,17.6,NULL,3.98,13.987,2010
Alameda,10,2010,167.65,35.191958,-106.6441893,160.36,1.15,NULL,16.39,14.212,2010
RGNC (Rio Grande Nature Center),13,2010,469.88,35.015056,-106.6736953,29.51,38.51,NULL,4.08,14.27,2010
AOP/Umbreit (Albuquerque Overbank Project),17,2010,182.21,35.145288,-106.6803699,161.7,25.56,NULL,NULL,14.508,2010
Montano,11,2010,181.08,35.190568,-106.6491626,33.17,NULL,16.93,NULL,14.92,2010
Santo Domingo,2,2010,210.61,35.126753,-106.6884322,148.34,NULL,NULL,NULL,15.333,2010
Bobcat,6,2010,276.69,35.142853,-106.6819814,153.53,54.69,NULL,23.17,15.383,2010
Sandia,4,2010,479.57,34.648432,-106.7377022,38.4,91.99,NULL,NULL,15.48,2010
VDO (Valle de Oro),20,2010,245.03,35.100641,-106.6914783,155.14,38.09,NULL,6.54,15.483,2010
Santa Ana,3,2010,505.33,34.812369,-106.714458,258.85,33.2,1.63,NULL,15.858,2010
Diversion,7,2010,161.57,34.167032,-106.8899486,19.61,NULL,1.78,26.19,16.25,2010
NHCC (National Hispanic Cultural Center),16,2010,452.39,34.647162,-106.738482,110.47,3.08,NULL,1.36,16.275,2010
Minnow,8,2010,350.7,35.068813,-106.6580575,42.9,3.13,1.41,NULL,17.045,2010
Ohkay Owingeh,1,2010,365.48,35.188051,-106.646919,130.31,3.02,162.85,0.66,17.25,2010
Badger,5,2010,274.1,35.34284,-106.5458,27.36,NULL,1.46,NULL,18.763,2010
Bosque Farms,22,2010,310.82,35.197056,-106.6439494,61.74,4.47,NULL,NULL,18.866,2010
Los Lunas,23,2010,267.7,35.066889,-106.7202778,22.48,13.85,NULL,2.9,21.366,2010
Reynolds Forest,24,2010,234.36,35.50989,-106.3896,201.21,NULL,7.63,NULL,27.133,2010
Calabacillas,9,2010,635.27,36.0618,-106.0761,132.79,NULL,11.58,NULL,NULL,2010
Reynolds Cleared,25,2010,302.86,34.637511,-106.7434661,135.07,0.72,NULL,15.59,NULL,2010
Savannah,12,2011,188.97,35.193151,-106.646915,156.98,7.6,1.21,2.07,5.254,2011
Bosque Farms,22,2011,285.42,35.197056,-106.6439494,73.97,6.06,NULL,NULL,5.83,2011
SLO (State Land Office),21,2011,268.65,35.195569,-106.6416219,192.75,NULL,NULL,NULL,6.766,2011
Alameda,10,2011,97.327,35.191958,-106.6441893,147.43,3.03,NULL,10.81,7.258,2011
Montano,11,2011,218.65,35.190568,-106.6491626,39.52,2.15,14.7,0.56,8.304,2011
VDO (Valle de Oro),20,2011,231.67,35.100641,-106.6914783,168.23,41.27,NULL,4.9,8.625,2011
Rt 66,14,2011,443.18,34.258342,-106.8831845,12.82,120.33,NULL,84.01,8.691,2011
Harrison,18,2011,128.45,34.659664,-106.7421328,50.2,2.16,2.53,5.71,9.004,2011
Bobcat,6,2011,174.19,35.142853,-106.6819814,186.35,54.74,NULL,24.7,9.145,2011
Ohkay Owingeh,1,2011,394.76,35.188051,-106.646919,144.12,2.82,168,1.91,9.191,2011
RGNC (Rio Grande Nature Center),13,2011,330.034,35.015056,-106.6736953,20.27,26.97,NULL,2.78,9.304,2011
Los Lunas,23,2011,221.18,35.066889,-106.7202778,22.38,2.18,NULL,0.11,10.233,2011
AOP/Umbreit (Albuquerque Overbank Project),17,2011,180.62,35.145288,-106.6803699,175.24,31.16,NULL,NULL,10.804,2011
San Jose,19,2011,403.4,34.660546,-106.7429525,111.31,61.28,NULL,141.56,11.054,2011
Santo Domingo,2,2011,186.52,35.126753,-106.6884322,174.48,NULL,0.013,NULL,11.345,2011
Minnow,8,2011,332.79,35.068813,-106.6580575,33.32,3.48,2.21,NULL,11.941,2011
Sandia,4,2011,349.04,34.648432,-106.7377022,38.89,67.31,NULL,NULL,11.958,2011
Badger,5,2011,253.15,35.34284,-106.5458,25.03,NULL,1.68,NULL,12.104,2011
BioPark,15,2011,234.08,34.648634,-106.7391728,55.54,13.22,NULL,2.61,12.15,2011
Diversion,7,2011,128.47,34.167032,-106.8899486,4.74,NULL,1.95,19.27,12.872,2011
Santa Ana,3,2011,464.64,34.812369,-106.714458,248.02,37.37,1.95,NULL,13.916,2011
Reynolds Forest,24,2011,112.09,35.50989,-106.3896,182.29,NULL,4.13,NULL,13.916,2011
NHCC (National Hispanic Cultural Center),16,2011,160.75,34.647162,-106.738482,110.33,NULL,NULL,NULL,14.427,2011
Reynolds Cleared,25,2011,117.98,34.637511,-106.7434661,168.76,1.33,NULL,12.21,25.725,2011
Calabacillas,9,2011,574.26,36.0618,-106.0761,168.97,2.21,10.21,NULL,NULL,2011
Savannah,12,2012,204.19,35.193151,-106.646915,142.47,0.47,7.54,NULL,4.916,2012
Reynolds Forest,24,2012,119.22,35.50989,-106.3896,153.7,NULL,7.17,NULL,5.162,2012
VDO (Valle de Oro),20,2012,244.26,35.100641,-106.6914783,174.26,43.93,NULL,5.91,5.825,2012
Alameda,10,2012,106.61,35.191958,-106.6441893,149.29,0.3,0.43,17.7,5.97,2012
Montano,11,2012,183.74,35.190568,-106.6491626,24.46,NULL,18.72,0.06,5.975,2012
Bosque Farms,22,2012,289.82,35.197056,-106.6439494,80.5,6.05,NULL,NULL,6.286,2012
Rt 66,14,2012,441.01,34.258342,-106.8831845,12.4,109.57,0.03,101.09,6.304,2012
Ohkay Owingeh,1,2012,389.68,35.188051,-106.646919,147.73,3.07,179.05,1.57,6.845,2012
Santo Domingo,2,2012,198.17,35.126753,-106.6884322,159.03,NULL,NULL,NULL,6.958,2012
SLO (State Land Office),21,2012,288.33,35.195569,-106.6416219,183.61,NULL,NULL,NULL,7.062,2012
Los Lunas,23,2012,255.85,35.066889,-106.7202778,52.21,0.17,NULL,NULL,7.312,2012
Bobcat,6,2012,241.68,35.142853,-106.6819814,186.31,69.88,NULL,26.09,7.775,2012
RGNC (Rio Grande Nature Center),13,2012,250.41,35.015056,-106.6736953,27.12,43.01,NULL,2.22,7.925,2012
Minnow,8,2012,408.26,35.068813,-106.6580575,36.16,6.23,5.66,NULL,8.154,2012
Badger,5,2012,235.24,35.34284,-106.5458,14.46,NULL,2.52,NULL,8.412,2012
Diversion,7,2012,67.83,34.167032,-106.8899486,1.02,NULL,2.3,26.55,8.883,2012
Santa Ana,3,2012,471.16,34.812369,-106.714458,227.43,36.32,1.71,NULL,9.337,2012
AOP/Umbreit (Albuquerque Overbank Project),17,2012,283.79,35.145288,-106.6803699,170.5,36.62,NULL,NULL,9.833,2012
Harrison,18,2012,221.46,34.659664,-106.7421328,50.06,NULL,1.68,NULL,10.283,2012
Reynolds Cleared,25,2012,279.1,34.637511,-106.7434661,170.52,2.81,NULL,19.78,12.333,2012
BioPark,15,2012,310.35,34.648634,-106.7391728,54.08,5.13,NULL,NULL,12.736,2012
San Jose,19,2012,223.08,34.660546,-106.7429525,126.75,18.94,NULL,9.29,13.022,2012
Sandia,4,2012,368.72,34.648432,-106.7377022,27.24,82.4,NULL,NULL,14.477,2012
NHCC (National Hispanic Cultural Center),16,2012,286.95,34.647162,-106.738482,121.1,1.12,NULL,NULL,15.104,2012
Calabacillas,9,2012,508.17,36.0618,-106.0761,143.18,4.44,25.02,NULL,NULL,2012
Harrison,18,2013,172.17,34.659664,-106.7421328,167.01,NULL,1.91,1.25,11.941,2013
